,lat,lng,x,y,single_index
312,14.375,122.125,37,20,1500
313,14.375,122.375,37,21,1501
314,14.375,122.625,37,22,1502
315,14.375,122.875,37,23,1503
316,14.375,123.125,37,24,1504
317,14.625,120.125,38,12,1532
318,14.625,120.375,38,13,1533
319,14.625,120.625,38,14,1534
320,14.625,120.875,38,15,1535
321,14.625,121.625,38,18,1538
322,14.625,121.875,38,19,1539
323,14.875,119.875,39,11,1571
324,14.875,120.125,39,12,1572
325,14.875,121.625,39,18,1578
326,15.125,119.875,40,11,1611
327,15.125,121.625,40,18,1618
328,15.375,119.875,41,11,1651
329,15.375,121.625,41,18,1658
330,15.625,119.875,42,11,1691
331,15.625,121.625,42,18,1698
332,15.875,119.875,43,11,1731
333,15.875,121.625,43,18,1738
334,15.875,121.875,43,19,1739
335,16.125,119.875,44,11,1771
336,16.125,120.125,44,12,1772
337,16.125,120.375,44,13,1773
338,16.125,121.875,44,19,1779
339,16.125,122.125,44,20,1780
340,16.125,122.375,44,21,1781
341,16.375,120.125,45,12,1812
342,16.375,120.375,45,13,1813
343,16.375,122.375,45,21,1821
344,16.625,120.125,46,12,1852
345,16.625,122.375,46,21,1861
346,16.625,122.625,46,22,1862
347,16.875,120.125,47,12,1892
348,16.875,120.375,47,13,1893
349,16.875,122.625,47,22,1902
350,17.125,120.375,48,13,1933
351,17.125,122.625,48,22,1942
352,17.375,120.375,49,13,1973
353,17.375,122.375,49,21,1981
354,17.375,122.625,49,22,1982
355,17.625,120.375,50,13,2013
356,17.625,122.375,50,21,2021
357,17.875,120.375,51,13,2053
358,17.875,122.375,51,21,2061
359,18.125,120.375,52,13,2093
360,18.125,122.375,52,21,2101
361,18.375,120.375,53,13,2133
362,18.375,120.625,53,14,2134
363,18.375,121.625,53,18,2138
364,18.375,121.875,53,19,2139
365,18.375,122.125,53,20,2140
366,18.375,122.375,53,21,2141
367,18.625,120.625,54,14,2174
368,18.625,120.875,54,15,2175
369,18.625,121.125,54,16,2176
370,18.625,121.375,54,17,2177
371,18.625,121.625,54,18,2178
